"ncbi_id","ncbi_gs","ncbi_gs_synonyms","ncbi_name","pathway_kegg","pathway_reactome","pathway_wiki"
"8073","PTP4A2","HH13;HH7-2;HU-PP-1;OV-1;PRL-2;PRL2;PTP4A;PTPCAAX2;ptp-IV1a;ptp-IV1b;PTP4A2","protein tyrosine phosphatase 4A2","","R-HSA-8873719",""
"83871","RAB34","NARR;RAB39;RAH;RAB34","RAB34, member RAS oncogene family","","R-HSA-8873719",""
"84932","RAB2B","RAB2B","RAB2B, member RAS oncogene family","","R-HSA-8873719",""
"8934","RAB29","RAB7L;RAB7L1;RAB29","RAB29, member RAS oncogene family","","R-HSA-8873719",""
"23090","ZNF423","Ebfaz;JBTS19;NPHP14;OAZ;Roaz;ZFP423;Zfp104;hOAZ;ZNF423","zinc finger protein 423","","R-HSA-9844594","WP4803;WP2895;WP4656;WP560;WP4816;WP4149"
"64641","EBF2","COE2;EBF-2;O/E-3;OE-3;EBF2","EBF transcription factor 2","","R-HSA-9844594",""
"MG736819",NA,"",NA,"","R-HSA-9844594",""
"50859","SPOCK3","HSAJ1454;TES-3;TICN3;SPOCK3","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","","R-HSA-1592389",""
"10894","LYVE1","CRSBP-1;HAR;LYVE-1;XLKD1;LYVE1","lymphatic vessel endothelial hyaluronan receptor 1","","R-HSA-2160916",""
"11261","CHP1","CHP;SLC9A1BP;SPAX9;Sid470p;p22;p24;CHP1","calcineurin like EF-hand protein 1","","R-HSA-2160916","WP3863"
"51573","GDE1","363E6.2;MIR16;GDE1","glycerophosphodiester phosphodiesterase 1","","R-HSA-6814848","WP5345"
"81544","GDPD5","GDE2;PP1665;GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","","R-HSA-6814848",""
"55729","ATF7IP","AM;ATF-IP;ATF7IP1;MCAF;MCAF1;p621;ATF7IP","activating transcription factor 7 interacting protein","","R-HSA-3214841",""
"79918","SETD6","SETD6","SET domain containing 6, protein lysine methyltransferase","","R-HSA-3214841","WP2369"
"84193","SETD3","C14orf154;hSETD3;SETD3","SET domain containing 3, actin N3(tau)-histidine methyltransferase","","R-HSA-3214841","WP2369"
"55181","SMG8","ALKUS;C17orf71;SMG8","SMG8 nonsense mediated mRNA decay factor","","R-HSA-975957",""
"55629","PNRC2","PNRC2","proline rich nuclear receptor coactivator 2","","R-HSA-975957",""
"56006","SMG9","C19orf61;F17127_1;HBMS;NEDITPO;SMG9","SMG9 nonsense mediated mRNA decay factor","","R-HSA-975957",""
"10922","FASTK","FAST;FASTK","Fas activated serine/threonine kinase","","R-HSA-9837092",""
"22868","FASTKD2","COXPD44;KIAA0971;FASTKD2","FAST kinase domains 2","","R-HSA-9837092",""
"60493","FASTKD5","dJ1187M17.5;FASTKD5","FAST kinase domains 5","","R-HSA-9837092",""
"9238","TBRG4","CPR2;FASTKD4;TBRG4","transforming growth factor beta regulator 4","","R-HSA-9837092",""
"134429","STARD4","STARD4","StAR related lipid transfer domain containing 4","","R-HSA-196108",""
"147323","STARD6","STARD6","StAR related lipid transfer domain containing 6","","R-HSA-196108",""
"83930","STARD3NL","MENTHO;STARD3NL","STARD3 N-terminal like","","R-HSA-196108",""
"1528","CYB5A","CYB5;MCB5;METAG;CYB5A","cytochrome b5 type A","","R-HSA-9609523;R-HSA-196836","WP4524;WP4523;WP43"
"819","CAMLG","CAML;CDG2Z;GET2;CAMLG","calcium modulating ligand","","R-HSA-9609523",""
"347735","SERINC2","FKSG84;PRO0899;TDE2;TDE2L;SERINC2","serine incorporator 2","","R-HSA-977347",""
"57515","SERINC1","TDE1L;TDE2;TMS-2;TMS2;SERINC1","serine incorporator 1","","R-HSA-977347","WP1422"
"619189","SERINC4","SERINC4","serine incorporator 4","","R-HSA-977347",""
"22880","MORC2","CMT2Z;DIGFAN;ZCW3;ZCWCC1;MORC2","MORC family CW-type zinc finger 2","","R-HSA-75105",""
"10973","ASCC3","ASC1p200;HELIC1;RNAH;ASCC3","activating signal cointegrator 1 complex subunit 3","","R-HSA-112126","WP2853;WP2857;WP3888"
"221120","ALKBH3","ABH3;DEPC-1;DEPC1;PCA1;hABH3;ALKBH3","alkB homolog 3, alpha-ketoglutarate dependent dioxygenase","","R-HSA-112126","WP5348;WP4931"
"51008","ASCC1","ASC1p50;CGI-18;SMABF2;p50;ASCC1","activating signal cointegrator 1 complex subunit 1","","R-HSA-112126","WP4919"
"84164","ASCC2","ASC1p100;p100;ASCC2","activating signal cointegrator 1 complex subunit 2","","R-HSA-112126",""
"3987","LIMS1","PINCH;PINCH-1;PINCH1;LIMS1","LIM zinc finger domain containing 1","","R-HSA-446353;R-HSA-446388","WP2572"
"54751","FBLIM1","CAL;FBLP-1;FBLP1;FBLIM1","filamin binding LIM protein 1","","R-HSA-446353",""
"55679","LIMS2","LGMD2W;MDRCMTT;PINCH-2;PINCH2;LIMS2","LIM zinc finger domain containing 2","","R-HSA-446353",""
"11254","SLC6A14","BMIQ11;SLC6A14","solute carrier family 6 member 14","","R-HSA-352230;R-HSA-442660;R-HSA-5619094","WP2884;WP2882"
"124935","SLC43A2","LAT4;SLC43A2","solute carrier family 43 member 2","","R-HSA-352230",""
"348932","SLC6A18","Xtrp2;SLC6A18","solute carrier family 6 member 18","","R-HSA-352230;R-HSA-442660;R-HSA-5619079;R-HSA-5659729","WP2884;WP2882;WP4917"
"54716","SLC6A20","IMINO;SIT1;XT3;Xtrp3;SLC6A20","solute carrier family 6 member 20","","R-HSA-352230;R-HSA-442660;R-HSA-5619101;R-HSA-5660686","WP5029;WP2884;WP2882;WP4917"
"55089","SLC38A4","ATA3;NAT3;PAAT;SNAT4;SLC38A4","solute carrier family 38 member 4","","R-HSA-352230",""
"55117","SLC6A15","NTT73;SBAT1;V7-3;hv7-3;SLC6A15","solute carrier family 6 member 15","","R-HSA-352230;R-HSA-442660","WP2884;WP2882"
"56301","SLC7A10","ASC1;HASC-1;asc-1;SLC7A10","solute carrier family 7 member 10","","R-HSA-352230;R-HSA-210991","WP2895;WP5083"
"6509","SLC1A4","ASCT1;SATT;SPATCCM;SLC1A4","solute carrier family 1 member 4","","R-HSA-352230","WP5083"
"6533","SLC6A6","HTRDC;TAUT;SLC6A6","solute carrier family 6 member 6","","R-HSA-352230;R-HSA-442660","WP5313;WP2884;WP2882"
"6542","SLC7A2","ATRC2;CAT2;HCAT2;SLC7A2","solute carrier family 7 member 2","","R-HSA-352230","WP5355"
"84889","SLC7A3","ATRC3;CAT-3;CAT3;SLC7A3","solute carrier family 7 member 3","","R-HSA-352230",""
"8501","SLC43A1","LAT3;PB39;POV1;R00504;SLC43A1","solute carrier family 43 member 1","","R-HSA-352230","WP5220"
"9057","SLC7A6","LAT-2;LAT3;y+LAT-2;SLC7A6","solute carrier family 7 member 6","","R-HSA-352230;R-HSA-210991",""
"286256","LCN12","LCN12","lipocalin 12","","R-HSA-804914",""
"389812","LCN15","PRO6093;UNQ2541;LCN15","lipocalin 15","","R-HSA-804914",""
"3933","LCN1","PMFA;TLC;TP;VEGP;LCN1","lipocalin 1","","R-HSA-804914",""
"253017","TECRL","CPVT3;GPSN2L;SRD5A2L2;TERL;TECRL","trans-2,3-enoyl-CoA reductase like","","R-HSA-75876",""
"27247","NFU1","CGI-33;HIRIP;HIRIP5;MMDFS;MMDS1;NIFUC;Nfu;NifU;NFU1","NFU1 iron-sulfur cluster scaffold","","R-HSA-9857492","WP5028;WP5152"
"11022","TDRKH","TDRD2;TDRKH","tudor and KH domain containing","","R-HSA-5601884",""
"113802","HENMT1","C1orf59;HEN1;HENMT1","HEN methyltransferase 1","","R-HSA-5601884",""
"122402","TDRD9","C14orf75;HIG-1;HLS;NET54;SPGF30;SPNE;TDRD9","tudor domain containing 9","","R-HSA-5601884",""
"136991","ASZ1","ALP1;ANKL1;C7orf7;CT1.19;GASZ;Orf3;ASZ1","ankyrin repeat, SAM and basic leucine zipper domain containing 1","","R-HSA-5601884",""
"143689","PIWIL4","HIWI2;MIWI2;PIWIL4","piwi like RNA-mediated gene silencing 4","","R-HSA-5601884","WP4673"
"221400","TDRD6","CT41.2;NY-CO-45;SPATA36;TDR2;bA446F17.4;TDRD6","tudor domain containing 6","","R-HSA-5601884",""
"4603","MYBL1","A-MYB;AMYB;MYBL1","MYB proto-oncogene like 1","","R-HSA-5601884","WP3651;WP3527"
"54456","MOV10L1","CHAMP;DJ402G11.8;SPGF73;MOV10L1","Mov10 like RISC complex RNA helicase 1","","R-HSA-5601884","WP4673"
"55124","PIWIL2","CT80;HILI;PIWIL1L;mili;PIWIL2","piwi like RNA-mediated gene silencing 2","","R-HSA-5601884","WP4673"
"56165","TDRD1","CT41.1;TDRD1","tudor domain containing 1","","R-HSA-5601884",""
"84944","MAEL","CT128;SPATA35;MAEL","maelstrom spermatogenic transposon silencer","","R-HSA-5601884",""
"91646","TDRD12","ECAT8;TDRD12","tudor domain containing 12","","R-HSA-5601884",""
"9271","PIWIL1","CT80.1;HIWI;MIWI;PIWI;PIWIL1","piwi like RNA-mediated gene silencing 1","","R-HSA-5601884","WP4673"
"26133","TRPC4AP","C20orf188;PPP1R158;TRRP4AP;TRUSS;TRPC4AP","transient receptor potential cation channel subfamily C member 4 associated protein","","R-HSA-3295583",""
